Plant #,Region,Pop,Long,Lat
QH-E-1-1,East,E-1,-102.6168513,33.37272459
QH-E-1-2,East,E-1,-102.6168648,33.37297641
QH-E-1-3,East,E-1,-102.6169815,33.37318875
QH-E-1-4,East,E-1,-102.6282368,33.37278226
QH-E-1-5,East,E-1,-102.6284533,33.37303887
QH-E-1-6,East,E-1,-102.6286341,33.37326684
QH-E-1-7,East,E-1,-102.6289613,33.37340925
QH-E-1-8,East,E-1,-102.6291629,33.37358442
QH-E-1-9,East,E-1,-102.6294636,33.37378673
QH-E-1-10,East,E-1,-102.6380273,33.38302185
QH-E-1-11,East,E-1,-102.6383333,33.383309
QH-E-1-12,East,E-1,-102.6387369,33.38344742
QH-E-1-13,East,E-1,-102.6125685,33.35802703
QH-E-1-14,East,E-1,-102.6128167,33.35838165
QH-E-1-15,East,E-1,-102.6016071,33.34340965
QH-E-1-16,East,E-1,-102.5998077,33.3434488
QH-E-1-17,East,E-1,-102.5981339,33.34337044
QH-E-1-18,East,E-1,-102.5968686,33.34316922
QH-E-1-19,East,E-1,-102.611873,33.33613179
QH-E-1-20,East,E-1,-102.6118829,33.33577131
QH-E-1-21,East,E-1,-102.6118853,33.33568119
QH-E-1-22,East,E-1,-102.6038504,33.34344305
QH-E-1-23,East,E-1,-102.5814535,33.34375705
QH-E-1-24,East,E-1,-102.6122496,33.35805876
QH-E-1-25,East,E-1,-102.6165329,33.37277528
QH-E-1-26,East,E-1,-102.6377046,33.38307161
QH-E-1-27,East,E-1,-102.6578511,33.38729479
QH-E-1-28,East,E-1,-102.6636015,33.38729503
QH-E-1-29,East,E-1,-102.680033,33.39387917
QH-E-1-30,East,E-1,-102.7000442,33.3887335
QH-E-1-31,East,E-1,-102.7145634,33.39087739
QH-E-2-1,East,E-2,-103.8670383,33.4083158
QH-E-2-2,East,E-2,-103.8668477,33.4083348
QH-E-2-3,East,E-2,-103.8666481,33.40888314
QH-E-2-4,East,E-2,-103.8665678,33.40885535
QH-E-2-5,East,E-2,-103.8667299,33.40920767
QH-E-2-6,East,E-2,-103.8667134,33.40957099
QH-E-2-7,East,E-2,-103.8659885,33.41015872
QH-E-2-8,East,E-2,-103.8657972,33.41047806
QH-E-2-9,East,E-2,-103.8657939,33.41056461
QH-E-2-10,East,E-2,-103.8658193,33.41075875
QH-E-2-11,East,E-2,-103.8657788,33.41197325
QH-E-2-12,East,E-2,-103.8663408,33.40770244
QH-E-2-13,East,E-2,-103.8657117,33.40795464
QH-E-2-14,East,E-2,-103.8652588,33.40805061
QH-E-2-15,East,E-2,-103.8647724,33.40796408
QH-E-2-16,East,E-2,-103.8646278,33.40784042
QH-E-2-17,East,E-2,-103.8642677,33.40778806
QH-E-2-18,East,E-2,-103.8636049,33.40778199
QH-E-2-19,East,E-2,-103.8632149,33.40777841
QH-E-2-20,East,E-2,-103.8629712,33.40777618
QH-E-2-21,East,E-2,-103.8628266,33.4076522
QH-E-2-22,East,E-2,-103.8620467,33.40764505
QH-E-2-23,East,E-2,-103.8620478,33.40756329
QH-E-2-24,East,E-2,-103.8618736,33.40770624
QH-E-2-25,East,E-2,-103.8670019,33.4070863
QH-E-3-1,East,E-3,-103.3634497,33.68658948
QH-E-3-2,East,E-3,-103.3633618,33.68658831
QH-E-3-3,East,E-3,-103.363264,33.68658702
QH-E-3-4,East,E-3,-103.3631662,33.68658572
QH-E-3-5,East,E-3,-103.3630684,33.68658443
QH-E-3-6,East,E-3,-103.3626773,33.68657924
QH-E-3-7,East,E-3,-103.362533,33.6864547
QH-E-3-8,East,E-3,-103.3624352,33.6864534
QH-E-3-9,East,E-3,-103.3622396,33.68645081
QH-E-3-10,East,E-3,-103.3621419,33.68644951
QH-E-3-11,East,E-3,-103.3618485,33.68644562
QH-E-3-12,East,E-3,-103.3612228,33.68643732
QH-E-3-13,East,E-3,-103.3627238,33.69389231
QH-E-3-14,East,E-3,-103.3615145,33.68428298
QH-E-3-15,East,E-3,-103.3615244,33.68415866
QH-E-3-16,East,E-3,-103.361526,33.68407662
QH-E-3-17,East,E-3,-103.3615278,33.68397925
QH-E-3-18,East,E-3,-103.3615302,33.68385664
QH-E-3-19,East,E-3,-103.3615333,33.68369255
QH-E-3-20,East,E-3,-103.3615345,33.68362764
QH-E-3-21,East,E-3,-103.3615395,33.68336619
QH-E-3-22,East,E-3,-103.3615423,33.68321833
QH-E-3-23,East,E-3,-103.3615474,33.68294876
QH-E-3-24,East,E-3,-103.36155,33.68280992
QH-E-3-25,East,E-3,-103.3615536,33.68262239
QH-E-3-26,East,E-3,-103.3614288,33.6826018
QH-E-3-27,East,E-3,-103.3614372,33.68216093
QH-E-3-28,East,E-3,-103.3614447,33.68176785
QH-E-4-1,East,E-4,-103.2362849,33.61064455
QH-E-4-2,East,E-4,-103.2364215,33.61076283
QH-E-4-3,East,E-4,-103.2364893,33.61082151
QH-E-4-4,East,E-4,-103.236645,33.6109563
QH-E-4-5,East,E-4,-103.2369511,33.61122127
QH-E-4-6,East,E-4,-103.2370453,33.61130288
QH-E-4-7,East,E-4,-103.2371407,33.6113854
QH-E-4-8,East,E-4,-103.2372159,33.61145049
QH-E-4-9,East,E-4,-103.2373578,33.61157336
QH-E-4-10,East,E-4,-103.2375346,33.61172647
QH-E-4-11,East,E-4,-103.2376564,33.61183192
QH-E-4-12,East,E-4,-103.2377793,33.61193827
QH-E-4-13,East,E-4,-103.2379488,33.61208497
QH-E-4-14,East,E-4,-103.2380706,33.61219041
QH-E-4-15,East,E-4,-103.2389878,33.61298442
QH-E-4-16,East,E-4,-103.239171,33.61314304
QH-E-4-17,East,E-4,-103.2393267,33.61327782
QH-E-4-18,East,E-4,-103.2393918,33.61341491
QH-E-4-19,East,E-4,-103.2394596,33.61347359
QH-E-5-1,East,E-5,-100.2753586,35.90274641
QH-E-5-2,East,E-5,-100.275288,35.902767
QH-E-5-3,East,E-5,-100.2752201,35.9028146
QH-E-5-4,East,E-5,-100.2751642,35.90285215
QH-E-5-5,East,E-5,-100.2752908,35.90280303
QH-E-5-6,East,E-5,-100.2752966,35.9028201
QH-E-5-7,East,E-5,-100.2750854,35.9029152
QH-E-5-8,East,E-5,-100.2750318,35.90295724
QH-E-5-9,East,E-5,-100.2749351,35.90300965
QH-E-5-10,East,E-5,-100.2748692,35.90304731
QH-E-5-11,East,E-5,-100.274839,35.903026
QH-E-5-12,East,E-5,-100.2747697,35.90305739
QH-E-5-13,East,E-5,-100.2747665,35.90306824
QH-E-5-14,East,E-5,-100.2746943,35.90305368
QH-E-5-15,East,E-5,-100.2746943,35.90305368
QH-E-5-16,East,E-5,-100.2745505,35.90307414
QH-E-5-17,East,E-5,-100.2745625,35.90305778
QH-E-5-18,East,E-5,-100.2745699,35.90303787
QH-E-5-19,East,E-5,-100.2745758,35.9032704
QH-E-5-20,East,E-5,-100.2745468,35.90325809
QH-E-5-21,East,E-5,-100.2744489,35.90323389
QH-E-5-22,East,E-5,-100.275868,35.90300335
QH-E-5-23,East,E-5,-100.275548,35.90246492
QH-E-5-24,East,E-5,-100.2755193,35.90246974
QH-E-5-25,East,E-5,-100.2753749,35.90245144
QH-E-5-26,East,E-5,-100.2753317,35.90217242
QH-E-5-27,East,E-5,-100.2753299,35.90213007
QH-E-5-28,East,E-5,-100.2751944,35.90217929
QH-E-5-29,East,E-5,-100.276402,35.90361433
QH-E-5-30,East,E-5,-100.2764024,35.90364137
QH-E-5-31,East,E-5,-100.2763719,35.90365204
QH-E-5-32,East,E-5,-100.2763723,35.90367908
QH-E-5-33,East,E-5,-100.2774168,35.90256586
QH-E-5-34,East,E-5,-100.275868,35.90300335
QH-E-5-35,East,E-5,-100.275868,35.90300335
QH-E-5-36,East,E-5,-100.275868,35.90300335
QH-E-5-37,East,E-5,-100.275868,35.90300335
QH-E-5-38,East,E-5,-100.275868,35.90300335
QH-E-5-39,East,E-5,-100.275868,35.90300335
QH-E-5-40,East,E-5,-100.275868,35.90300335
QH-E-5-41,East,E-5,-100.275868,35.90300335
QH-E-5-42,East,E-5,-100.275868,35.90300335
QH-E-5-43,East,E-5,-100.275868,35.90300335
QH-E-6-2,East,E-6,-100.176718,35.44468247
QH-E-6-3,East,E-6,-100.1766684,35.44468295
QH-E-6-4,East,E-6,-100.1765186,35.44468442
QH-E-6-5,East,E-6,-100.1764679,35.44468491
QH-E-6-6,East,E-6,-100.1763181,35.44468637
QH-E-6-7,East,E-6,-100.1762685,35.44468685
QH-E-6-8,East,E-6,-100.1761187,35.44468831
QH-E-6-9,East,E-6,-100.1760691,35.44468879
QH-E-6-10,East,E-6,-100.1759193,35.44469025
QH-E-6-11,East,E-6,-100.1758686,35.44469075
QH-E-6-12,East,E-6,-100.1757188,35.44469221
QH-E-6-13,East,E-6,-100.1756692,35.44469269
QH-E-6-14,East,E-6,-100.1755194,35.44469415
QH-E-6-15,East,E-6,-100.1755095,35.44469425
